feature,importance
Processor__UNISOC T700,3.8233392687255983e-07
Model_I Kall Z19Pro,3.7945539685103995e-07
Model_REDMI Note 10S,3.3411579937903706e-07
Colour_Polar Blue,3.143407303991261e-07
Colour_Origin Blue,3.139576973898252e-07
Model_Infinix Note 11s Free Fire Edition,3.035992333489687e-07
Colour_Stripe Blue,2.9242701663599845e-07
Model_REDMI Note 11,2.864964784115514e-07
Colour_Deepsea Luster,2.631297361142128e-07
Processor__Unisoc Tiger T612 (12 nm),2.5266370448349237e-07
Colour_Prime Blue,2.1508629945602742e-07
Colour_B.A.E. Purple,1.9985557543509913e-07
Colour_Stellar Black,1.9605669019636953e-07
Colour_SapphireBlack,1.7048093026000112e-07
Colour_Prime Black,1.7036677135082347e-07
Colour_Rush Black,1.5621205528293048e-07
Colour_Dark Green,1.5412705617972065e-07
Model_realme C25s,1.5300356758930028e-07
Colour_Silk Blue,1.4221641544197113e-07
Model_Infinix HOT 12 Play,1.2559121923225048e-07
Processor__Mediatek Helio G88,8.070864644085624e-08
Model_Micromax 3,4.617319213420226e-08
Colour_Cyan,3.823273439971878e-08
Colour_Shadow Gray,2.906453840431281e-08
Colour_Metaverse Blue,2.2767159518853042e-08
Model_micromax 1,1.8200339639164262e-08
Model_micromax,1.0274856162215931e-08
Colour_Green Apple,7.910533759179508e-09
Colour_Eclipse Black,4.199477474986059e-09
Model_REDMI Note 11S,1.4093846105933148e-10
Processor__0 0 0 208MHz,1.1488968273566877e-10
Colour_DawnBlue,5.252030505479456e-11
Colour_VertMenthe,2.2137047490095697e-11
Colour_Fantasy Purple,0.0
Colour_Ink Black,0.0
Colour_Sunrise Orange,0.0
Colour_Alpine White,0.0
Colour_Jade White,0.0
Colour_Sea,0.0
Colour_Wildcat Blue,0.0
Colour_Sandy Gold,0.0
Colour_Metal Black,0.0
Colour_Heart Of Ocean,0.0
